"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","101","342","528","64","0.49199999999999994"
"3","true","4","70","7","30","91","1","587","64","0.5247999999999999"
"4","true","4","70","7","30","109","1","529","64","0.46576"
"1","true","4","70","7","30","111","19","662","64","0.4592"
"2","true","4","70","7","30","102","317","559","64","0.48872"
"3","true","4","70","7","30","92","0","550","64","0.52152"
"1","true","4","70","7","30","112","24","649","64","0.45592"
"4","true","4","70","7","30","110","20","499","64","0.46247999999999995"
"2","true","4","70","7","30","103","285","596","64","0.4854399999999999"
"1","true","4","70","7","30","113","47","634","64","0.45264"
"3","true","4","70","7","30","93","46","523","64","0.51824"
"4","true","4","70","7","30","111","205","507","64","0.4592"
"2","true","4","70","7","30","104","252","622","64","0.48216"
"1","true","4","70","7","30","114","116","648","64","0.44936"
"4","true","4","70","7","30","112","341","530","64","0.45592"
"3","true","4","70","7","30","94","133","525","64","0.51496"
"1","true","4","70","7","30","115","148","654","64","0.44608"
"2","true","4","70","7","30","105","226","640","64","0.47888"
"4","true","4","70","7","30","113","322","545","64","0.45264"
"1","true","4","70","7","30","116","190","659","64","0.44279999999999997"
"2","true","4","70","7","30","106","209","662","64","0.47559999999999997"
"3","true","4","70","7","30","95","267","532","64","0.5116799999999999"
"1","true","4","70","7","30","117","203","668","64","0.43951999999999997"
"4","true","4","70","7","30","114","307","557","64","0.44936"
"2","true","4","70","7","30","107","186","690","64","0.47231999999999996"
"2","true","4","70","7","30","108","160","712","64","0.46903999999999996"
"1","true","4","70","7","30","118","202","668","64","0.43623999999999996"
"4","true","4","70","7","30","115","295","560","64","0.44608"
"3","true","4","70","7","30","96","299","559","64","0.5084"
"1","true","4","70","7","30","119","205","682","64","0.43296"
"2","true","4","70","7","30","109","137","741","64","0.46576"
"4","true","4","70","7","30","116","292","579","64","0.44279999999999997"
"3","true","4","70","7","30","97","272","585","64","0.50512"
